Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
37164859,-42.87,107.51,0.0,0.00,0.0,0.0,0.0
37271540,-42.87,103.81,0.0,0.00,0.0,0.0,0.0
37378221,-42.23,103.81,0.0,0.00,0.0,0.0,0.0
37484902,-42.64,105.04,0.0,0.00,0.0,0.0,0.0
37591583,-43.52,106.98,0.0,0.00,0.0,0.0,0.0
37698264,-42.70,105.22,0.0,0.00,0.0,0.0,0.0
37804945,-42.76,105.75,0.0,0.00,0.0,0.0,0.0
37911626,-42.23,104.69,0.0,0.00,0.0,0.0,0.0
38018307,-42.64,106.98,0.0,0.00,0.0,0.0,0.0
38124988,-42.58,106.45,0.0,0.00,0.0,0.0,0.0
38231669,-42.17,106.28,0.0,0.00,0.0,0.0,0.0
38338350,-41.99,106.63,0.0,0.00,0.0,0.0,0.0
38445031,-42.23,106.98,0.0,0.00,0.0,0.0,0.0
38551712,-42.70,106.80,0.0,0.00,0.0,0.0,0.0
38658393,-43.11,108.74,0.0,0.00,0.0,0.0,0.0
38765074,-43.23,112.61,0.0,0.00,0.0,0.0,0.0
38871755,-42.46,108.91,0.0,0.00,0.0,0.0,0.0
38978436,-42.52,109.79,0.0,0.00,0.0,0.0,0.0
39085117,-40.88,104.69,0.0,0.00,0.0,0.0,0.0
39191798,-42.23,108.56,0.0,0.00,0.0,0.0,0.0
39298479,-41.70,107.86,0.0,0.00,0.0,0.0,0.0
39405160,-41.88,108.56,0.0,0.00,0.0,0.0,0.0
39511841,-41.52,108.39,0.0,0.00,0.0,0.0,0.0
39618522,-41.29,109.62,0.0,0.00,0.0,0.0,0.0
39725203,-41.82,110.50,0.0,0.00,0.0,0.0,0.0
39831884,-41.82,110.85,0.0,0.00,0.0,0.0,0.0
39938565,-41.41,111.20,0.0,0.00,0.0,0.0,0.0
40045246,-42.35,109.44,0.0,0.00,0.0,0.0,0.0
40151927,-41.82,112.61,0.0,0.00,0.0,0.0,0.0
40258608,-41.99,109.62,0.0,0.00,0.0,0.0,0.0
40365289,-42.64,113.31,0.0,0.00,0.0,0.0,0.0
40471970,-41.58,109.62,0.0,0.00,0.0,0.0,0.0
40578651,-42.70,112.26,0.0,0.00,0.0,0.0,0.0
40685332,-42.35,112.08,0.0,0.00,0.0,0.0,0.0
40792013,-41.41,109.97,0.0,0.00,0.0,0.0,0.0
40898694,-42.64,112.96,0.0,0.00,0.0,0.0,0.0
41005375,-40.88,108.91,0.0,0.00,0.0,0.0,0.0
41112056,-41.88,111.73,0.0,0.00,0.0,0.0,0.0
41218737,-41.82,112.96,0.0,0.00,0.0,0.0,0.0
41325418,-41.35,112.26,0.0,0.00,0.0,0.0,0.0
41432099,-42.29,112.26,0.0,0.00,0.0,0.0,0.0
41538780,-42.40,114.02,0.0,0.00,0.0,0.0,0.0
41645461,-42.58,115.43,0.0,0.00,0.0,0.0,0.0
41752142,-41.35,114.55,0.0,0.00,0.0,0.0,0.0
41858823,-40.76,109.62,0.0,0.00,0.0,0.0,0.0
41965504,-41.76,113.49,0.0,0.00,0.0,0.0,0.0
42072185,-41.64,114.02,0.0,0.00,0.0,0.0,0.0
42178866,-41.35,113.14,0.0,0.00,0.0,0.0,0.0
42285547,-41.41,114.02,0.0,0.00,0.0,0.0,0.0
42392228,-41.94,116.13,0.0,0.00,0.0,0.0,0.0
